n_gram,freq,freq3
register for,334,89
relates to,345,89
reply to,699,89
report that,776,89
rt i'm,1138,89
saw the,4136,89
school districts,1028,89
series of,4399,89
serve on,186,89
she loved,489,89
should focus,118,89
shown to,336,89
significant number,98,89
sister in,263,89
so maybe,765,89
some pretty,761,89
something special,618,89
something we,863,89
something with,648,89
sometimes the,1151,89
stabbed to,90,89
straight for,163,89
struggling with,699,89
summer in,433,89
super easy,265,89
takes you,337,89
tend not,91,89
the brainchild,90,89
the buffett,92,89
the city's,4526,89
the debut,203,89
the fish,1075,89
the horrors,146,89
the midwest,783,89
the opinion,290,89
the proportion,107,89
the separation,172,89
the sport,879,89
the transportation,362,89
them down,890,89
thin layer,109,89
this article,1122,89
this class,629,89
this young,311,89
to attract,905,89
to confirm,550,89
to finance,371,89
to jail,496,89
to land,664,89
to lean,197,89
to time,1081,89
trying hard,144,89
trying my,160,89
under a,2298,89
understand what,1061,89
unemployment rate,985,89
walking into,329,89
want anyone,149,89
want out,123,89
war of,318,89
was little,621,89
was stuck,229,89
was treated,336,89
we thank,182,89
we'll get,731,89
well over,404,89
well thought,108,89
what's it,276,89
who leads,164,89
work cut,89,89
work he,550,89
world right,126,89
worries about,328,89
would at,135,89
wow i,1373,89
year since,482,89
you email,205,89
you planning,197,89
you're just,949,89
a balance,323,88
a consent,122,88
a former,4491,88
a reaction,228,88
a table,1123,88
a tablespoon,137,88
about at,273,88
all or,402,88
all season,626,88
all seem,135,88
also to,815,88
an all-time,179,88
an enormous,548,88
an investment,423,88
an opinion,515,88
and allowed,498,88
and assists,401,88
and decide,350,88
and proud,275,88
and without,871,88
are a_m,92,88
are engaged,147,88
are quite,681,88
are reluctant,95,88
ask her,478,88
asked by,327,88
at if,203,88
at scottrade,107,88
award goes,91,88
away but,690,88
bad things,579,88
based solely,96,88
be carried,202,88
be spent,323,88
be wary,112,88
bed all,137,88
beneath the,721,88
better on,296,88
billion last,107,88
breakfast in,270,88
brought out,323,88
call in,616,88
can enjoy,501,88
can often,237,88
can put,850,88
car and,1890,88
cases in,372,88
change it,895,88
child sexual,107,88
close and,577,88
code of,312,88
common sense,866,88
corn on,97,88
count as,305,88
counts of,962,88
day a,1088,88
daylight savings,163,88
design for,382,88
didn't tell,300,88
discovery of,379,88
door in,273,88
even so,599,88
even some,380,88
everybody wants,148,88
evident in,220,88
famous for,447,88
finally starting,107,88
find myself,1142,88
fire to,295,88
first to,1784,88
first years,188,88
floor in,281,88
flow of,643,88
for ice,149,88
for yet,129,88
friends that,611,88
function of,295,88
funny to,374,88
game right,146,88
gas prices,892,88
george h_w,93,88
get this,2650,88
got kicked,132,88
had managed,110,88
has committed,187,88
have is,586,88
have that,2511,88
he appears,168,88
he explained,370,88
he's always,367,88
heading for,265,88
her new,1201,88
him how,433,88
him this,474,88
his mind,1032,88
his son,1749,88
i thoroughly,124,88
i'm fine,408,88
i'm new,146,88
in before,483,88
in la,2177,88
in lots,98,88
in seven,630,88
in someone,201,88
including one,643,88
injuries were,189,88
inning with,179,88
introduction of,372,88
is brought,200,88
is packed,294,88
is recovering,162,88
is rooted,94,88
is worried,141,88
it ain't,692,88
it breaks,231,88
it's meant,106,88
it's sad,423,88
its good,340,88
jail in,245,88
just arrived,358,88
keep him,668,88
kids at,436,88
kill a,398,88
know just,448,88
locker room,1155,88
lucas oil,113,88
magnitude of,203,88
massive amounts,89,88
me then,703,88
me wish,166,88
meeting new,162,88
mixed in,284,88
moments of,871,88
more work,528,88
morning of,480,88
name from,290,88
no its,272,88
not fair,464,88
now living,133,88
of harry,150,88
of heart,621,88
on cinco,93,88
on june,1436,88
other part,140,88
over with,862,88
oversight of,210,88
pacific gas,107,88
participants in,197,88
pat on,102,88
points a,156,88
popped into,150,88
pour in,218,88
problem was,413,88
project will,333,88
proximity to,308,88
recommend this,311,88
rest for,332,88
rocking out,184,88
rt hope,238,88
saying the,1468,88
says to,538,88
second quarter,776,88
see when,380,88
sets out,166,88
simmer for,257,88
small amounts,144,88
snow white,305,88
so by,356,88
so obsessed,103,88
someone i,669,88
soon i,903,88
still like,382,88
subscribe to,453,88
team from,343,88
test of,505,88
texas gov,94,88
than five,415,88
that guy,1078,88
that obama,477,88
the california,1317,88
the correct,891,88
the cutting,229,88
the mountains,744,88
the official,1829,88
the oval,159,88
the pittsburgh,347,88
the plug,265,88
the proposal,1196,88
the response,666,88
the willamette,221,88
the writing,1000,88
them she,393,88
this out,870,88
through and,1029,88
through with,533,88
to counter,263,88
to stimulate,200,88
told reporters,788,88
tommy john,112,88
true meaning,111,88
turn them,226,88
unrelated to,197,88
walking away,216,88
was attempting,96,88
way shape,94,88
we'll find,160,88
wee hours,156,88
well below,205,88
were full,142,88
what some,352,88
who makes,593,88
who's your,234,88
will move,492,88
wines by,96,88
won't make,362,88
work ethic,468,88
works best,221,88
would leave,443,88
years younger,161,88
you decided,141,88
you found,618,88
you tonight,778,88
you where,403,88
you're able,96,88
younger than,586,88
a corner,656,87
a doctorate,121,87
a drizzle,97,87
a litany,88,87
a motion,297,87
a treat,690,87
after days,236,87
against one,223,87
all are,1161,87
an appearance,506,87
an associated,114,87
and hanging,190,87
and offered,348,87
and prepare,291,87
and stuff,813,87
another set,121,87
anything on,326,87
as are,374,87
as everyone,296,87
back a,894,87
back onto,148,87
back through,245,87
baking soda,404,87
basking in,129,87
be far,348,87
be necessary,228,87
be what,588,87
been placed,200,87
before making,323,87
big and,872,87
breakfast at,357,87
buffalo wild,87,87
but guess,116,87
but worth,155,87
by end,91,87
by president,321,87
called the,4883,87
can't imagine,784,87
catholic high,102,87
challenge over,108,87
cities and,562,87
clean and,871,87
close the,1110,87
cost is,509,87
deathly hallows,126,87
decide on,380,87
defense in,254,87
did say,333,87
do one,468,87
doing for,489,87
dominated by,489,87
down but,734,87
drug and,236,87
drug enforcement,125,87
enough about,363,87
exhibit at,157,87
explain why,712,87
expressed interest,109,87
final game,232,87
finalist for,133,87
first set,244,87
for gay,211,87
for life,1610,87
for obvious,104,87
for san,232,87
for telling,221,87
four hits,277,87
free all,182,87
game was,982,87
get anything,302,87
get us,606,87
girl at,308,87
girls on,271,87
give away,817,87
gone back,161,87
good if,363,87
guy next,102,87
guys at,320,87
hand if,229,87
harder than,601,87
has her,385,87
have health,130,87
he takes,654,87
he taught,218,87
her son,1243,87
his heart,845,87
i belong,198,87
i smell,391,87
i'll still,266,87
i'm reminded,145,87
in costa,137,87
in math,383,87
inspiration to,502,87
is considering,494,87
is safe,552,87
is sitting,342,87
isn't in,270,87
it according,88,87
it once,675,87
it pays,232,87
it provides,386,87
it would've,138,87
it's official,578,87
judge a,232,87
just hope,678,87
just now,1191,87
keep calm,136,87
know me,1189,87
know so,499,87
lady of,302,87
landed in,499,87
largest and,143,87
lime juice,356,87
limits of,337,87
lose weight,611,87
may try,154,87
money is,1303,87
must come,251,87
never in,388,87
never trust,152,87
not prepared,192,87
numbers of,752,87
of free,974,87
of ideas,658,87
of pain,625,87
of success,961,87
of technology,645,87
of thinking,627,87
officers in,268,87
on trial,294,87
one good,360,87
parallel to,158,87
per square,167,87
place is,1030,87
planning on,1061,87
play this,436,87
population of,597,87
process and,980,87
reached an,149,87
really not,819,87
recognition of,342,87
region of,343,87
reminding me,322,87
restricted free,105,87
rich and,902,87
rose from,243,87
rub it,144,87
said goodbye,141,87
say but,525,87
school on,510,87
seats on,175,87
see another,333,87
settled on,348,87
she became,368,87
she started,641,87
since high,90,87
sleep all,158,87
smells like,797,87
some quality,195,87
spot trending,87,87
stanley cup,500,87
still get,730,87
struck out,1048,87
students from,601,87
study published,151,87
support each,98,87
surprised that,556,87
table at,296,87
tell that,558,87
than double,184,87
that keeps,581,87
the accuracy,103,87
the adoption,230,87
the colorado,675,87
the cream,470,87
the evidence,1013,87
the flavors,437,87
the gist,128,87
the handling,95,87
the in,690,87
the indians,1581,87
the peanut,150,87
the proliferation,88,87
the usa,1213,87
the written,207,87
them you,732,87
they appear,232,87
they begin,194,87
they wish,219,87
things go,403,87
think outside,130,87
think too,162,87
thinks he,368,87
this issue,1065,87
this reminds,91,87
throw a,768,87
tickets at,224,87
to brag,206,87
to cheer,523,87
to conclude,236,87
to judge,726,87
to mix,573,87
to once,166,87
to third,406,87
today by,405,87
tone for,202,87
u guys,1182,87
u_s officials,411,87
underestimate the,213,87
until she,722,87
until well,266,87
up about,750,87
up your,2149,87
us get,461,87
very grateful,251,87
was younger,356,87
watch for,664,87
ways and,499,87
wednesday in,493,87
which turned,140,87
will announce,289,87
wing of,131,87
with copic,115,87
wow thank,91,87
written about,528,87
yards per,223,87
year there,373,87
yesterday when,205,87
york mercantile,88,87
you cannot,1340,87
#thatawkwardmoment when,204,86
15-day disabled,86,86
a continuation,99,86
a first-round,292,86
a magnet,168,86
a mass,389,86
a normal,1088,86
a page,745,86
a sprinkling,90,86
a strong,3843,86
a try,1042,86
ability of,338,86
about our,2256,86
about time,902,86
against all,279,86
all walks,92,86
also important,172,86
am convinced,144,86
am following,210,86
an office,726,86
and earned,254,86
and goes,497,86
and kansas,213,86
and outs,113,86
and show,1010,86
and stick,292,86
and whatever,395,86
any thoughts,241,86
area on,226,86
as hell,1685,86
as loud,106,86
asked us,181,86
at yankee,89,86
attributed to,422,86
bag full,94,86
be built,508,86
be judged,294,86
be needed,314,86
be regarded,105,86
be your,1720,86
becoming one,116,86
bed and,1437,86
been convicted,144,86
been nominated,156,86
began to,3421,86
begin to,2335,86
being unable,88,86
believe he,540,86
bells and,142,86
better as,312,86
board and,900,86
books i,814,86
both on,310,86
boys in,407,86
broad range,89,86
can always,1151,86
can hardly,423,86
capitalize on,249,86
caused him,100,86
characters and,775,86
charges that,281,86
cold in,326,86
continue with,306,86
could try,224,86
country club,615,86
create jobs,481,86
d i,588,86
day two,263,86
days it,405,86
debate over,404,86
did we,1058,86
direct result,96,86
doesn't take,561,86
doing just,218,86
done so,815,86
dr square,86,86
dream that,373,86
driving in,398,86
end in,693,86
equipped with,364,86
even got,385,86
explained to,314,86
fall back,340,86
far we,230,86
first came,313,86
following the,2590,86
for access,129,86
for los,100,86
for members,248,86
four months,821,86
from north,288,86
gm and,194,86
go after,602,86
gone too,169,86
got from,415,86
gov mitt,91,86
grand scheme,98,86
great idea,1135,86
guess it's,631,86
haha yeah,476,86
hahaha i,701,86
have hours,144,86
have someone,549,86
health insurance,1419,86
her because,304,86
her high,127,86
hilltop on,86,86
him she,413,86
him while,231,86
holding my,249,86
homes and,924,86
how it's,516,86
how people,828,86
i brought,678,86
i die,679,86
i refer,120,86
i stand,570,86
i'll definitely,240,86
i'm stuck,296,86
in afternoon,112,86
in nba,161,86
in upstate,115,86
in west,888,86
industry and,729,86
inspire you,239,86
is absolutely,965,86
is derived,95,86
is it's,666,86
is our,2810,86
is returning,151,86
it failed,136,86
it rains,396,86
it true,261,86
it's at,506,86
it's enough,140,86
it's friday,834,86
its one,163,86
kept trying,107,86
kid you,175,86
large skillet,198,86
last part,175,86
least amount,91,86
let the,4469,86
like everybody,145,86
like listening,89,86
load the,190,86
lol you,879,86
love going,180,86
lying if,97,86
main street,793,86
make new,255,86
makes the,2548,86
male or,104,86
manager joe,128,86
meal of,193,86
might seem,330,86
million gallons,143,86
missed you,1065,86
months and,1397,86
months or,297,86
my problem,323,86
not worthy,146,86
nothing of,380,86
nothing on,362,86
of running,748,86
office for,535,86
on second,271,86
only days,442,86
or from,381,86
or less,1669,86
or part,110,86
our team,1145,86
over so,318,86
pay a,1126,86
pension and,209,86
personal and,481,86
players such,87,86
portland public,102,86
prices in,258,86
prison if,118,86
probably end,91,86
prospect of,643,86
ranked in,117,86
regional medical,93,86
sale at,485,86
season he,735,86
sex in,255,86
sheriff's office,902,86
show us,565,86
small portion,107,86
so focused,111,86
sold to,458,86
something but,478,86
song for,446,86
spokesman michael,124,86
state for,468,86
stay that,118,86
story from,292,86
take down,302,86
talent in,231,86
taxes and,785,86
texture of,216,86
thanks man,788,86
that isn't,1068,86
that matters,607,86
that piece,195,86
the aroma,338,86
the behest,89,86
the campus,734,86
the customer,688,86
the delivery,266,86
the distance,901,86
the feast,182,86
the festival,1153,86
the hilltop,132,86
the images,767,86
the jonas,98,86
the less,1019,86
the movies,1193,86
the outpouring,90,86
the peace,644,86
the pinnacle,127,86
the ruins,189,86
the solar,300,86
the somerset,119,86
the songs,1016,86
the version,266,86
their work,1104,86
then have,435,86
then she,1330,86
this early,449,86
threw for,142,86
times it,472,86
to about,1248,86
to combat,418,86
to hook,221,86
to low,270,86
to pretend,450,86
to resist,477,86
tough economic,100,86
u_s forest,90,86
us up,818,86
walt disney,350,86
was rushed,126,86
we couldn't,991,86
whenever you,528,86
who ran,378,86
will present,385,86
win on,272,86
women on,283,86
work right,164,86
work you,569,86
would put,632,86
would they,486,86
would use,514,86
wow that's,459,86
you good,440,86
you marry,131,86
you needed,266,86
your last,701,86
a brick,314,85
a charter,261,85
a consequence,199,85
a doctor,1123,85
a father,631,85
a focal,96,85
a larceny,86,85
a remake,129,85
a sweet,1582,85
about but,544,85
about living,176,85
about myself,551,85
advocate for,478,85
after receiving,327,85
ago today,459,85
all else,332,85
am right,157,85
and an,6702,85
and beat,627,85
and forget,344,85
and refrigerate,268,85
and spending,392,85
any sense,334,85
are missing,390,85
as both,405,85
attention away,92,85
background none,85,85
balance of,551,85
bar at,252,85
be complete,283,85
been set,435,85
best they,181,85
big fans,131,85
both he,120,85
broke into,308,85
but ended,113,85
but let's,633,85
but think,428,85
by me,943,85
can't handle,459,85
card with,381,85
case you're,183,85
center will,291,85
city music,99,85
closed due,85,85
crisis in,327,85
did an,483,85
do get,527,85
don't deserve,291,85
done this,730,85
dont think,531,85
elected officials,699,85
end result,358,85
entitled to,723,85
ever come,286,85
everyone will,387,85
except that,605,85
expects to,835,85
eyes and,1767,85
far has,199,85
feelings about,347,85
few drops,118,85
first come,120,85
first off,396,85
first or,241,85
floating in,167,85
for very,240,85
for we,382,85
former director,106,85
from at,351,85
funding from,205,85
get hold,91,85
gold and,468,85
half moon,114,85
happy labor,86,85
has built,267,85
hasn't had,234,85
have happened,720,85
have received,738,85
he averaged,157,85
he opened,309,85
he's talking,133,85
headed in,153,85
help them,1379,85
her all,281,85
her role,240,85
highs in,128,85
him the,2844,85
hold of,546,85
hours are,302,85
i agreed,270,85
i entered,256,85
i own,495,85
i'd say,1168,85
i've still,132,85
if god,376,85
im sorry,509,85
in being,485,85
in great,531,85
inspire me,409,85
inviting me,159,85
is obviously,463,85
it kills,160,85
items from,308,85
its about,386,85
its nice,177,85
judging from,157,85
know many,246,85
knowledge is,340,85
larceny a,85,85
larceny was,85,85
laughing at,574,85
law tip,85,85
lead into,145,85
leave for,613,85
let there,93,85
long periods,139,85
love if,195,85
made no,451,85
major part,102,85
making your,368,85
men on,276,85
million more,250,85
mom is,1140,85
more inclined,93,85
my world,911,85
names such,88,85
national institutes,87,85
need at,186,85
never make,306,85
new ideas,467,85
nine years,557,85
no offense,299,85
no respect,157,85
none repeat,85,85
of city,502,85
of cuyahoga,112,85
of violence,661,85
off work,774,85
officer at,251,85
oh by,97,85
on death,133,85
paid attention,136,85
parents in,357,85
part by,370,85
party of,428,85
pay off,761,85
payroll tax,255,85
performance on,275,85
playing a,1262,85
process of,2319,85
promise of,636,85
q a,601,85
rates in,288,85
really helped,223,85
repeat scroll,85,85
right hand,744,85
risk of,2088,85
rt what,782,85
running on,504,85
said something,510,85
school will,267,85
second game,242,85
secretary timothy,91,85
selected in,136,85
sent him,361,85
set and,678,85
shaped like,163,85
shook her,114,85
shy of,371,85
side effect,169,85
side with,391,85
something has,196,85
spent all,241,85
steer clear,101,85
stop and,1009,85
strengths and,193,85
strive to,404,85
style background,86,85
sunny day,435,85
supply and,205,85
sweet and,1242,85
tackles for,124,85
take one,488,85
take photos,252,85
take this,1180,85
tears to,160,85
terms and,275,85
the 80s,492,85
the atlanta,521,85
the glow,146,85
the homes,347,85
the hot,1467,85
the pile,219,85
the shade,333,85
the suffering,218,85
the tools,486,85
the waters,363,85
there appears,89,85
they began,269,85
they cannot,540,85
thing it,484,85
think any,230,85
think in,432,85
thinking i,735,85
this year's,2918,85
thoughts are,349,85
three quarters,232,85
three year,151,85
to cast,404,85
to compare,520,85
to invite,413,85
today he,639,85
tomorrow we,379,85
tonight if,244,85
too high,633,85
treatment of,668,85
u for,542,85
victory of,159,85
was believed,111,85
was quoted,164,85
was suffering,133,85
way on,302,85
we talking,138,85
week if,288,85
where should,155,85
who passed,203,85
who spoke,317,85
who suffered,204,85
will listen,196,85
will then,439,85
will travel,183,85
with joy,315,85
with law,124,85
with much,431,85
wonderful way,106,85
working out,1540,85
working to,1185,85
wound up,653,85
wrap it,170,85
you excited,246,85
you following,318,85
you grew,98,85
you'll see,986,85
you're feeling,319,85
a 3-0,188,84
a barrage,86,84
a bitch,1687,84
a bundle,138,84
a coupon,229,84
a crime,1089,84
a play,1080,84
a plea,332,84
a political,1554,84
a sales,337,84
a say,170,84
a sudden,1119,84
a thin,558,84
a unit,264,84
about and,1412,84
about her,2900,84
absent from,182,84
academy of,553,84
add boston,99,84
all ages,666,84
all dressed,120,84
all five,377,84
all if,333,84
also used,551,84
always ready,147,84
am more,322,84
an age,343,84
an insult,193,84
and im,1080,84
and lemon,321,84
and never,2245,84
and picking,159,84
anyone has,358,84
are faced,89,84
argument that,415,84
artistic director,309,84
as awesome,124,84
at case,96,84
be less,632,84
be looked,134,84
be lying,149,84
been an,1667,84
been playing,704,84
before there,191,84
behind your,204,84
best movie,232,84
big deal,1601,84
big in,282,84
big to,254,84
billion or,266,84
bit and,755,84
books to,640,84
boston add,84,84
bowl of,1019,84
boy who,689,84
building at,448,84
but lots,95,84
by gov,275,84
by myself,896,84
by percentage,99,84
calories calories,89,84
came away,174,84
can't you,446,84
cat in,181,84
chance at,492,84
charges against,626,84
close eye,90,84
close friend,334,84
coincide with,181,84
company that,1337,84
day thanks,253,84
designed by,656,84
dishes such,84,84
donation to,272,84
dont feel,204,84
driving on,206,84
earned runs,193,84
either one,261,84
everyone hope,173,84
everything but,540,84
evolved into,222,84
faculty and,237,84
false sense,90,84
family law,172,84
fannie and,92,84
fast enough,395,84
favorite is,274,84
finishing up,519,84
first amendment,393,84
followed follow,104,84
following in,179,84
for failure,177,84
for like,693,84
for listening,359,84
for opening,223,84
for real,1696,84
for ten,237,84
four days,893,84
free comic,90,84
fried chicken,539,84
friend is,760,84
from oven,134,84
from trying,120,84
full bar,209,84
garden state,431,84
get access,99,84
getting caught,216,84
got more,551,84
gotta be,903,84
great so,240,84
grip on,241,84
had won,382,84
has died,471,84
havre de,88,84
he ends,107,84
he's able,88,84
head and,1940,84
here when,327,84
here's how,447,84
his brother,1206,84
his office,984,84
hours until,310,84
i attempted,125,84
i grabbed,393,84
i invite,133,84
i'd hate,111,84
i'm down,511,84
i'm wide,90,84
in games,1049,84
in grade,156,84
in greater,204,84
in size,419,84
in working,258,84
income of,314,84
increased risk,137,84
is ideal,167,84
is picking,137,84
is thinking,326,84
it along,301,84
it tries,89,84
it under,314,84
just couldn't,705,84
just never,465,84
just waking,88,84
knew each,92,84
last minutes,274,84
law does,112,84
least we,466,84
like nobody,135,84
like something,700,84
long live,190,84
looked into,300,84
low interest,105,84
made clear,273,84
made more,332,84
make her,1071,84
marriage is,585,84
match of,126,84
mess with,639,84
minutes for,405,84
money would,226,84
more sense,362,84
must go,516,84
my lil,523,84
my money,933,84
myself with,524,84
new favorite,753,84
new life,757,84
no shame,204,84
no word,249,84
not available,517,84
not work,642,84
note on,229,84
now comes,158,84
now look,204,84
now the,4796,84
numbers in,302,84
obama in,369,84
of access,152,84
of arts,258,84
of community,797,84
of hours,873,84
of no,1004,84
of same-sex,139,84
of wanting,130,84
officials declined,92,84
oh this,194,84
on administrative,103,84
on low,329,84
on many,613,84
open a,1089,84
our own,3842,84
out after,563,84
out they,583,84
out through,197,84
overall it,141,84
past weekend,608,84
people go,374,84
people if,314,84
people interested,97,84
people involved,204,84
people this,304,84
percent compared,139,84
picks up,468,84
place them,199,84
play by,427,84
please thank,103,84
prepared to,1540,84
pretty hard,271,84
producer of,262,84
programs for,403,84
radio city,116,84
receiving end,106,84
riding on,234,84
running back,1449,84
saved my,170,84
say or,262,84
school at,543,84
sensitive to,333,84
service will,217,84
set foot,143,84
she gets,980,84
she still,754,84
should we,1008,84
side effects,488,84
since according,84,84
site in,457,84
sold at,398,84
solution is,261,84
some would,236,84
south korea,549,84
spoke of,423,84
stark contrast,117,84
start all,112,84
state police,1062,84
stems from,313,84
still is,555,84
still searching,116,84
story for,509,84
stressed that,285,84
studying for,425,84
talk shit,264,84
tear it,156,84
texas family,91,84
thanks looking,90,84
that feels,323,84
that going,253,84
that jesus,553,84
that side,157,84
that use,366,84
that we'll,325,84
the 15-day,104,84
the birds,885,84
the earthquake,445,84
the few,1685,84
the frequency,167,84
the gloucester,101,84
the grateful,102,84
the guest,498,84
the income,268,84
the korean,267,84
the lady,1061,84
the letter,1523,84
the marriage,417,84
the mass,586,84
the shores,99,84
the standards,276,84
the suit,928,84
the toilet,829,84
the vampire,354,84
there all,382,84
time one,229,84
time or,1005,84
to contain,378,84
to curl,132,84
to delay,292,84
to interfere,131,84
to piss,251,84
to reform,263,84
to sum,151,84
to tear,382,84
to testify,528,84
touches on,303,84
trouble in,244,84
two men,1055,84
two very,257,84
u_s bureau,85,84
under investigation,436,84
under pressure,429,84
until last,259,84
us want,116,84
via social,115,84
walk from,227,84
want in,528,84
was accompanied,98,84
was listed,226,84
was traded,142,84
wasn't about,183,84
we'll give,173,84
weather in,520,84
well so,590,84
were planning,169,84
were starting,119,84
wet tshirt,85,84
what with,290,84
when so,128,84
when this,813,84
while striking,87,84
who decided,172,84
who founded,147,84
who played,862,84
will spend,436,84
window of,347,84
with hints,91,84
would but,273,84
writing for,465,84
you aren't,1291,84
you before,350,84
you sent,238,84
you stay,610,84
your twitter,809,84
a down,322,83
a joke,1740,83
a knife,632,83
a leap,197,83
a president,354,83
a recording,273,83
a roll,455,83
a rough,865,83
a two,653,83
a web,501,83
about months,345,83
about on,355,83
about their,2862,83
about two-thirds,109,83
all areas,144,83
also needs,130,83
always think,338,83
am who,117,83
america is,648,83
an amendment,205,83
an argument,694,83
an incentive,181,83
and energy,829,83
as easily,257,83
as vice,121,83
assured me,174,83
at pm,1624,83
at right,318,83
at washington,369,83
authorized to,282,83
be closed,803,83
be hosting,264,83
be married,259,83
been affected,127,83
been killed,361,83
been struggling,215,83
before my,937,83
being back,184,83
box in,215,83
build on,379,83
but out,120,83
by now,1525,83
can't fall,120,83
certified wet,83,83
chief investment,122,83
child of,454,83
club drama,84,83
coach for,237,83
commander in,142,83
commenting on,322,83
commissioner david,104,83
commissioner of,199,83
contest friday,87,83
convicted of,811,83
cover and,794,83
covered in,1241,83
did at,296,83
didn't turn,167,83
districts in,251,83
drama want,83,83
easy enough,182,83
economic and,424,83
edgar allan,91,83
end the,1905,83
essentially the,201,83
even has,209,83
event for,477,83
evolution of,306,83
except in,282,83
feet above,189,83
first lady,462,83
for going,316,83
forcing them,103,83
foundation and,368,83
free txt,84,83
friday club,88,83
future in,354,83
g1 certified,83,83
get sick,435,83
has lost,864,83
have plans,252,83
he already,316,83
he couldn't,1272,83
he's willing,85,83
heading up,174,83
heat oil,131,83
her own,3694,83
hey you,891,83
his rookie,162,83
how big,595,83
how far,1243,83
how lucky,261,83
i kid,174,83
i seriously,902,83
i stayed,584,83
i'd want,173,83
in state,916,83
in urban,237,83
including in,291,83
indicates that,303,83
intended as,124,83
is against,257,83
is either,468,83
issue for,461,83
it dawned,85,83
it keeps,578,83
just long,97,83
keep telling,269,83
kudos to,468,83
largely because,221,83
last fall,1071,83
little about,418,83
living as,160,83
lost for,184,83
loyola university,114,83
main reason,357,83
makes him,511,83
mark in,227,83
matter is,365,83
mayor dave,112,83
me give,188,83
middle class,989,83
mile and,240,83
mile from,186,83
missed the,1745,83
money can't,100,83
more effective,454,83
moves like,123,83
my book,1499,83
my free,229,83
my share,110,83
nieces and,114,83
no im,206,83
no knowledge,106,83
not over,425,83
now instead,107,83
now know,379,83
now live,201,83
of americans,993,83
of blood,677,83
of freedom,551,83
of notre,94,83
of opportunities,229,83
of sexual,582,83
of tickets,275,83
of want,121,83
of watching,433,83
off some,355,83
officials did,99,83
one third,112,83
only with,495,83
operation of,179,83
our community,866,83
over here,1434,83
paid more,182,83
passed a,603,83
pay and,446,83
people when,325,83
perhaps one,166,83
play against,289,83
post i,1042,83
post is,797,83
powder and,379,83
ran for,528,83
really the,864,83
rebounds per,84,83
recently i,603,83
remake of,211,83
remember why,189,83
rt it's,773,83
scared to,655,83
see what's,433,83
serve in,232,83
she managed,96,83
she returned,161,83
she's the,611,83
should only,207,83
should really,494,83
silk tie,84,83
since most,184,83
since that,640,83
so don't,865,83
someday i,200,83
someone at,276,83
someone from,350,83
someone text,93,83
something as,362,83
something going,134,83
speak louder,97,83
start out,382,83
steps to,905,83
sunday night,1340,83
sure hope,296,83
take at,119,83
take full,155,83
taking me,279,83
than enough,332,83
that having,334,83
that love,564,83
that number,596,83
that shouldn't,193,83
that's my,1577,83
the allure,110,83
the article,1604,83
the committee,1338,83
the company's,3000,83
the credibility,116,83
the cumberland,105,83
the elderly,500,83
the gravity,129,83
the links,574,83
the maricopa,96,83
the northeast,554,83
the photos,1124,83
the post-dispatch,425,83
the rams,1434,83
the retirement,278,83
the sidewalk,740,83
the silk,163,83
the soundtrack,358,83
therefore it,196,83
they put,912,83
they talked,184,83
they're on,275,83
thing over,130,83
this so,648,83
this stage,451,83
those around,374,83
thought u,245,83
threat of,624,83
threatened to,703,83
times at,318,83
times that,726,83
tired as,231,83
to cater,127,83
to deny,515,83
to educate,545,83
to millions,121,83
to repay,281,83
to separate,405,83
took out,394,83
took them,359,83
took us,419,83
tried and,358,83
true in,350,83
tshirt contest,85,83
twitter is,1314,83
unhappy with,222,83
union and,428,83
wait wait,216,83
was likely,230,83
was possible,351,83
was transferred,125,83
wasn't all,185,83
we'd have,323,83
were back,238,83
whats your,268,83
who added,138,83
will discuss,344,83
will run,822,83
with good,971,83
with home,178,83
with these,2102,83
with years,148,83
wonderful to,388,83
world premiere,194,83
worst in,219,83
would reduce,208,83
yes i'm,910,83
you asked,384,83
you focus,117,83
you win,836,83
you'll just,153,83
your hair,1212,83
your having,141,83
your list,361,83
a brief,1553,82
a cold,1536,82
a concert,703,82
a drive,385,82
a graphic,222,82
a pace,196,82
a pit,202,82
a slave,250,82
a split,288,82
a teenage,294,82
a weekly,478,82
action against,283,82
acts like,272,82
after looking,146,82
ago that,739,82
alarm goes,82,82
all having,125,82
all kind,86,82
allow people,120,82
also able,83,82
always remember,458,82
an accident,807,82
an all,687,82
an environment,310,82
an increasing,181,82
an offer,547,82
and failure,189,82
and graduated,127,82
and loss,232,82
and won't,430,82
appropriate for,449,82
are almost,639,82
are easier,135,82
are thousands,98,82
around my,904,82
asked whether,366,82
asked why,455,82
at less,111,82
at noon,1268,82
at various,363,82
be any,889,82
be impossible,196,82
be ok,701,82
be sentenced,242,82
be transferred,146,82
because even,259,82
been dying,101,82
been hit,244,82
been moved,186,82
being involved,130,82
believe it's,609,82
billion over,172,82
blog i,880,82
both as,195,82
break into,289,82
break your,207,82
brought it,426,82
but look,258,82
but need,178,82
but really,1019,82
by making,756,82
calls to,554,82
can catch,356,82
cards in,264,82
ceases to,175,82
cheers to,498,82
class and,1324,82
come true,1512,82
coming for,358,82
committee of,270,82
commonwealth act,96,82
convinced me,197,82
could argue,155,82
could at,124,82
cross auto,82,82
damage attacks,94,82
day like,386,82
discover that,454,82
down all,277,82
driving force,211,82
earlier version,100,82
eastern conference,503,82
economy in,253,82
else out,124,82
event is,907,82
except to,274,82
